天海春香,菊地真THE IDOLM@STER 765PRO ALLSTARS+ GRE@TEST BEST! -LOVE&PEACE! - (disc 1) 09=====/home/pi/mount/YES♪.flac	天海春香,菊地真	THE IDOLM@STER 765PRO ALLSTARS+ GRE@TEST BEST! -LOVE&PEACE! - (disc 1)	YES♪	80
iruka我が心の友へ  1=====/home/pi/mount/Record384/iruka_我が心の友へ-1_80.flac	iruka	我が心の友へ	我が心の友へ Side A	80
iruka我が心の友へ  2=====/home/pi/mount/Record384/iruka_我が心の友へ-2_80.flac	iruka	我が心の友へ	我が心の友へ Side B	80
irukaFollowMe  2=====/home/pi/mount/Record384/iruka_FollowMe-2_80.flac	iruka	FollowMe	Side B	80
Culture ClubColour by Numbers  2=====/home/pi/mount/Record384/CultureClub_ColourByNumbers-2_80.flac	Culture Club	Colour by Numbers	Colour by Numbers SIDE 2	80
irukaFollowMe  1=====/home/pi/mount/Record384/iruka_FollowMe-1_80.flac	iruka	FollowMe	Side A	80
Culture ClubColour by Numbers  1=====/home/pi/mount/Record384/CultureClub_ColourByNumbers-1_80.flac	Culture Club	Colour by Numbers	Colour by Numbers SIDE 1	80
水瀬伊織THE IDOLM@STER 765PRO ALLSTARS+ GRE@TEST BEST! -LOVE&PEACE! - (disc 2) 06=====/home/pi/mount/DIAMOND.flac	水瀬伊織	THE IDOLM@STER 765PRO ALLSTARS+ GRE@TEST BEST! -LOVE&PEACE! - (disc 2)	DIAMOND	80
小沢健二LIFE 01=====/home/pi/mount/小沢健二 - LIFE/01 - 愛し愛されて生きるのさ.flac	小沢健二	LIFE	愛し愛されて生きるのさ	80
小沢健二LIFE 02=====/home/pi/mount/小沢健二 - LIFE/02 - ラブリー.flac	小沢健二	LIFE	ラブリー	80
小沢健二LIFE 03=====/home/pi/mount/小沢健二 - LIFE/03 - 東京恋愛専科・または恋は言ってみりゃボディー・ブロー.flac	小沢健二	LIFE	東京恋愛専科・または恋は言ってみりゃボディー・ブロー	80
小沢健二LIFE 04=====/home/pi/mount/小沢健二 - LIFE/04 - いちょう並木のセレナーデ.flac	小沢健二	LIFE	いちょう並木のセレナーデ	80
