/home/pi/Music/Hireso/BOOWY/0011562875.flac	 BOφWY	 PSYCHOPATH	 LIAR GIRL	70
/home/pi/Music/Hireso/BOOWY/0011562876.flac	 BOφWY	 PSYCHOPATH	 ANGEL PASSED CHILDREN	70
/home/pi/Music/Hireso/BOOWY/0011562877.flac	 BOφWY	 PSYCHOPATH	 LONGER THAN FOREVER	70
/home/pi/Music/Hireso/BOOWY/0011562878.flac	 BOφWY	 PSYCHOPATH	 GIGOLO & GIGOLET	70
/home/pi/Music/Hireso/BOOWY/0011562879.flac	 BOφWY	 PSYCHOPATH	 RENDEZ-VOUS (LIVE IN HAMBURG JULY 1987)	70
/home/pi/Music/Hireso/BOOWY/0011562880.flac	 BOφWY	 PSYCHOPATH	 MARIONETTE	70
/home/pi/Music/Hireso/BOOWY/0011562881.flac	 BOφWY	 PSYCHOPATH	 PLASTIC BOMB	70
/home/pi/Music/Hireso/BOOWY/0011562882.flac	 BOφWY	 PSYCHOPATH	 PSYCHOPATH	70
/home/pi/Music/Hireso/BOOWY/0011562883.flac	 BOφWY	 PSYCHOPATH	 CELLULOID DOLL	70
/home/pi/Music/Hireso/BOOWY/0011562884.flac	 BOφWY	 PSYCHOPATH	 FANTASTIC STORY	70
/home/pi/Music/Hireso/BOOWY/0011562885.flac	 BOφWY	 PSYCHOPATH	 MEMORY	70
/home/pi/Music/Hireso/BOOWY/0011562886.flac	 BOφWY	 PSYCHOPATH	 季節が君だけを変える	70
/home/pi/Music/Hireso/Iruka/record384/CultureClub_ColourByNumbers_1.flac	 Culture Club	 Colour by Numbers	 Colour by Numbers SIDE 1	100
/home/pi/Music/Hireso/Iruka/record384/CultureClub_ColourByNumbers_2.flac	 Culture Club	 Colour by Numbers	 Colour by Numbers SIDE 2	100
/home/pi/Music/m4a/CultureClubBest/1-0000855124.320.m4a	 Culture Club	 Greatest Hits	 Do You Really Want to Hurt Me (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/2-0000855125.320.m4a	 Culture Club	 Greatest Hits	 Time (Clock Of The Heart) [2002 - Remaster]	70
/home/pi/Music/m4a/CultureClubBest/3-0000855126.320.m4a	 Culture Club	 Greatest Hits	 I'll Tumble 4 Ya (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/4-0000855127.320.m4a	 Culture Club	 Greatest Hits	 White Boy (Dance Mix) [2003 - Remaster]	70
/home/pi/Music/m4a/CultureClubBest/5-0000855128.320.m4a	 Culture Club	 Greatest Hits	 Church Of The Poison Mind (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/6-0000855129.320.m4a	 Culture Club	 Greatest Hits	 Karma Chameleon (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/7-0000855130.320.m4a	 Culture Club	 Greatest Hits	 Miss Me Blind (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/8-0000855131.320.m4a	 Culture Club	 Greatest Hits	 It's A Miracle (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/9-0000855132.320.m4a	 Culture Club	 Greatest Hits	 Victims (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/10-0000855133.320.m4a	 Culture Club	 Greatest Hits	 Black Money (2003 Digital Remaster)	70
/home/pi/Music/m4a/CultureClubBest/11-0000855134.320.m4a	 Culture Club	 Greatest Hits	 The War Song (2003 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/12-0000855135.320.m4a	 Culture Club	 Greatest Hits	 Mistake Number 3 (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/13-0000855136.320.m4a	 Culture Club	 Greatest Hits	 Love Is Love (2002 - Remaster)	70
/home/pi/Music/m4a/CultureClubBest/14-0000855137.320.m4a	 Culture Club	 Greatest Hits	 Move Away	70
/home/pi/Music/m4a/CultureClubBest/15-0000855138.320.m4a	 Culture Club	 Greatest Hits	 I Just Wanna Be Loved	70
/home/pi/Music/m4a/CultureClubBest/16-0000855139.320.m4a	 Culture Club	 Greatest Hits	 Cold Shoulder	70
/home/pi/Music/m4a/CultureClubBest/17-0000855140.320.m4a	 Culture Club	 Greatest Hits	 Your Kisses Are Charity (Blouse And Skirt Mix)	70
/home/pi/Music/Hireso/GLAY/1-0004404866.flac	 GLAY	 DRIVE -GLAY complete BEST-	 とまどい(Jet the Phantom)	70
/home/pi/Music/Hireso/GLAY/2-0004404867.flac	 GLAY	 DRIVE -GLAY complete BEST-	 口唇	70
